"CIP7";"Dosage";"Unites"
"1000001";"1000mg";10
"1000002";"10mg/mL;20mL";5
"1000003";"10mg/mL;50mL";10
"1000004";"10mg/mL;50mL";10
"1000005";"10mg/mL;50mL";10
"1000006";"10mg/mL;100mL";10
"1000007";"10mg/mL;20mL";5
"1000008";"10mg/ml;50mL";1
"1000009";"10mg/mL;100mL";1
"100001";"1000mg";10
"1000010";"20mg/mL;50mL";1
"100002";"10mg/mL;20mL";5
"100003";"10mg/mL;50mL";10
"100004";"10mg/mL;50mL";10
"100005";"10mg/mL;50mL";10
"100006";"10mg/mL;100mL";10
"2160908";"0,030mg";4
"2162474";"0,05mg";6
"2162511";"0,100mg";6
"2162557";"0,200mg";6
"2181170";"250mg";6
"2185653";"0,200mg";28
"2185682";"0,400mg";10
"2185699";"0,400mg";28
"2187899";"1000mg";10
"2187959";"10mg/mL;100mL";1
"2187971";"20mg/mL;100mL";1
"2194178";"500mg";16
"2194215";"500mg";16
"2194758";"2,5mg";30
"2194764";"5mg";30
"2194770";"10mg";30
"2206906";"30mg";1
"2208354";"400mg";5
"2208360";"400mg";7
"2210842";"2,5mg";4
"2210859";"5mg";4
"2210865";"7,5mg";4
"2210871";"10mg";4
"2214656";"1000mg";10
"2219079";"0,022mg";12
"2219091";"0,044mg";12
"2219116";"8,8microgrammes;22microgrammes";6
"2219808";"1,375mg";5
"2227765";"10mg";1
"2230193";"2,1mg";5
"2230230";"4,2mg";5
"2230276";"8,4mg";5
"2230307";"12,6mg";5
"2230342";"16,8mg";5
"2232022";"250mg";12
"2232128";"500mg";12
"2243971";"3mg;1mg";1
"2664508";"20mg";4
"2670495";"100mg";1
"2676782";"200mg";1
"2678841";"2,5mg";30
"2678870";"800mg";30
"2688503";"500mg";16
"2688532";"1000mg";8
"2688615";"500mg";16
"2688644";"1000mg";8
"2693958";"5mg";10
"2694159";"1000mg;125mg";8
"2694171";"1000mg;125mg";12
"2697057";"0,17mg";10
"2732285";"2000mg";1
"2732316";"2000mg";10
"2732345";"1000mg";1
"2732368";"1000mg";10
"2735651";"400mg";5
"2735668";"400mg";7
"2742668";"0,400mg";1
"2747938";"50mg";28
"2747944";"50mg";56
"2756044";"2,063mg";5
"2756067";"4,125mg";5
"2756096";"8,25mg";5
"2756110";"12,375mg";5
"2756133";"16,5mg";5
"2759031";"500mg";12
"2764351";"2mg";30
"2764368";"3mg";30
"2764374";"5mg";30
"2764658";"250mg";6
"2765675";"0,133mg";15
"2765698";"0,133mg";30
"2765770";"0,267mg";30
"2765853";"0,400mg";30
"2765959";"0,533mg";30
"2766031";"0,800mg";30
"2766580";"0,415mg";10
"2770512";"1000mg";1
"2770529";"1000mg";1
"2774993";"1000mg;125mg";8
"2775001";"1000mg;125mg";12
"2775018";"1000mg;125mg";8
"2775024";"1000mg;125mg";12
"2775053";"1000mg;125mg";8
"2775076";"1000mg;125mg";12
"2775082";"1000mg;125mg";8
"2775099";"1000mg;125mg";12
"2782484";"162mg/0,9mL";4
"2784833";"250mg";6
"2785525";"400mg";5
"2785531";"400mg";7
"2789411";"200mg";12
"2789747";"300mg";12
"2790153";"1000mg";10
"2790176";"500mg";10
"2792643";"400mg";5
"2792666";"400mg";7
"2792838";"500mg";1
"2792850";"250mg";1
"2792873";"125mg";1
"2792896";"1000mg";6
"2792904";"1000mg";14
"2792933";"500mg";12
"2794033";"600mg";10
"2795417";"50mg";28
"2795452";"50mg";56
"2795564";"200mg";14
"2795570";"200mg";28
"2795601";"200mg";56
"2802488";"500mg";16
"3000264";"200mg";1
"3000602";"100mg";60
"3000604";"150mg";60
"3000606";"250mg";10
"3000612";"500mg";16
"3000617";"1000mg";8
"3000766";"5mg";28
"3000768";"10mg";4
"3000769";"20mg";4
"3000770";"20mg";8
"3000799";"500mg";16
"3000882";"1000mg";6
"3000884";"1000mg";14
"3000929";"2mg";50
"3001066";"1000mg";6
"3001071";"1000mg";14
"3001758";"180mg";50
"3002078";"500mg";16
"3002158";"500mg";16
"3002161";"1000mg";8
"3002166";"1000mg";8
